the,20,10.00
of,10,5.00
her,6,3.00
a,6,3.00
and,5,2.50
far,4,2.00
blind,4,2.00
it,3,1.50
she,3,1.50
text,2,1.00
in,2,1.00
is,2,1.00
into,2,1.00
by,2,1.00
question,2,1.00
texts,2,1.00
to,2,1.00
small,2,1.00
bookmarksgrove,2,1.00
mountains,2,1.00
line,2,1.00
live,2,1.00
on,2,1.00
there,2,1.00
big,1,0.50
commas,1,0.50
named,1,0.50
bad,1,0.50
about,1,0.50
semantics,1,0.50
your,1,0.50
alphabet,1,0.50
when,1,0.50
put,1,0.50
decided,1,0.50
lorem,1,0.50
grammar,1,0.50
road,1,0.50
supplies,1,0.50
versalia,1,0.50
because,1,0.50
they,1,0.50
ran,1,0.50
devious,1,0.50
large,1,0.50
belt,1,0.50
made,1,0.50
countries,1,0.50
then,1,0.50
thousands,1,0.50
an,1,0.50
coast,1,0.50
at,1,0.50
even,1,0.50
didnt,1,0.50
reached,1,0.50
ipsum,1,0.50
paradisematic,1,0.50
word,1,0.50
sentences,1,0.50
skyline,1,0.50
world,1,0.50
allpowerful,1,0.50
place,1,0.50
so,1,0.50
headline,1,0.50
rethoric,1,0.50
necessary,1,0.50
initial,1,0.50
one,1,0.50
right,1,0.50
duden,1,0.50
marks,1,0.50
regelialia,1,0.50
fly,1,0.50
river,1,0.50
first,1,0.50
but,1,0.50
country,1,0.50
consonantia,1,0.50
almost,1,0.50
own,1,0.50
seven,1,0.50
language,1,0.50
had,1,0.50
do,1,0.50
italic,1,0.50
listen,1,0.50
view,1,0.50
leave,1,0.50
from,1,0.50
pointing,1,0.50
has,1,0.50
day,1,0.50
subline,1,0.50
which,1,0.50
last,1,0.50
ocean,1,0.50
were,1,0.50
parts,1,0.50
name,1,0.50
hills,1,0.50
semikoli,1,0.50
herself,1,0.50
unorthographic,1,0.50
little,1,0.50
however,1,0.50
behind,1,0.50
no,1,0.50
away,1,0.50
for,1,0.50
their,1,0.50
back,1,0.50
life,1,0.50
vokalia,1,0.50
not,1,0.50
flows,1,0.50
oxmox,1,0.50
packed,1,0.50
village,1,0.50
lane,1,0.50
over,1,0.50
hometown,1,0.50
cheek,1,0.50
separated,1,0.50
control,1,0.50
advised,1,0.50
way,1,0.50
with,1,0.50
mouth,1,0.50
roasted,1,0.50
wild,1,0.50
pityful,1,0.50
